idSubmercado;AttMatriz;Iteradores;1;2;3
3;percentual_variacao_patamar_carga;12/01/20;1.1033;1.0421;0.9268
3;percentual_variacao_patamar_carga;01/01/21;1.1162;1.0465;0.9295
3;percentual_variacao_patamar_carga;02/01/21;1.1089;1.0506;0.9249
3;percentual_variacao_patamar_carga;03/01/21;1.0921;1.0573;0.918
3;percentual_variacao_patamar_carga;04/01/21;1.099;1.0664;0.9155
3;percentual_variacao_patamar_carga;05/01/21;1.0957;1.0448;0.9118
3;percentual_variacao_patamar_carga;06/01/21;1.0863;1.0406;0.916
3;percentual_variacao_patamar_carga;07/01/21;1.0858;1.0414;0.9141
3;percentual_variacao_patamar_carga;08/01/21;1.0931;1.043;0.9076
3;percentual_variacao_patamar_carga;09/01/21;1.0989;1.0621;0.9114
3;percentual_variacao_patamar_carga;10/01/21;1.104;1.0567;0.9208
3;percentual_variacao_patamar_carga;11/01/21;1.1194;1.0488;0.9233
3;percentual_variacao_patamar_carga;12/01/21;1.1007;1.0395;0.924
3;percentual_variacao_patamar_carga;01/01/22;1.1148;1.0441;0.9259
3;percentual_variacao_patamar_carga;02/01/22;1.1033;1.0462;0.9237
3;percentual_variacao_patamar_carga;03/01/22;1.0968;1.0612;0.9193
3;percentual_variacao_patamar_carga;04/01/22;1.1012;1.069;0.919
3;percentual_variacao_patamar_carga;05/01/22;1.0913;1.0404;0.9102
3;percentual_variacao_patamar_carga;06/01/22;1.0862;1.0408;0.916
3;percentual_variacao_patamar_carga;07/01/22;1.09;1.0458;0.9155
3;percentual_variacao_patamar_carga;08/01/22;1.0885;1.0384;0.9063
3;percentual_variacao_patamar_carga;09/01/22;1.0988;1.062;0.9115
3;percentual_variacao_patamar_carga;10/01/22;1.1042;1.0571;0.9205
3;percentual_variacao_patamar_carga;11/01/22;1.1194;1.0488;0.9233
3;percentual_variacao_patamar_carga;12/01/22;1.1001;1.0402;0.9294
3;percentual_variacao_patamar_carga;01/01/23;1.1101;1.0398;0.9248
3;percentual_variacao_patamar_carga;02/01/23;1.1089;1.0506;0.9249
3;percentual_variacao_patamar_carga;03/01/23;1.0914;1.0569;0.9186
3;percentual_variacao_patamar_carga;04/01/23;1.1062;1.0729;0.9206
3;percentual_variacao_patamar_carga;05/01/23;1.091;1.0402;0.9105
3;percentual_variacao_patamar_carga;06/01/23;1.0859;1.0408;0.9162
3;percentual_variacao_patamar_carga;07/01/23;1.0905;1.0459;0.9151
3;percentual_variacao_patamar_carga;08/01/23;1.0881;1.0383;0.9067
3;percentual_variacao_patamar_carga;09/01/23;1.101;1.0645;0.9152
3;percentual_variacao_patamar_carga;10/01/23;1.1021;1.0548;0.917
3;percentual_variacao_patamar_carga;11/01/23;1.1194;1.0488;0.9233
3;percentual_variacao_patamar_carga;12/01/23;1.108;1.0476;0.9323
3;percentual_variacao_patamar_carga;01/01/24;1.1097;1.0396;0.9251
3;percentual_variacao_patamar_carga;02/01/24;1.1079;1.0493;0.9241
