;MES;ANO;1;2;3;4;5;6
244;5;1951;2116;2121;704;417;933;746
245;6;1951;1670;1674;610;363;1026;643
246;7;1951;1378;1387;525;437;793;679
247;8;1951;1156;1178;456;229;684;517
248;9;1951;935;963;377;221;699;418
249;10;1951;937;1024;377;1650;988;747
250;11;1951;877;1033;454;1856;1002;1152
251;12;1951;1527;1613;744;1313;1178;945
252;1;1952;2033;2739;796;638;891;597
253;2;1952;3546;3880;1054;579;1916;708
254;3;1952;4946;7831;1394;410;1307;1053
255;4;1952;2989;3387;788;438;1817;603
256;5;1952;1751;2209;433;232;790;425
257;6;1952;1574;1750;513;1042;905;697
258;7;1952;1208;1420;376;708;852;446
259;8;1952;936;1169;291;442;684;371
260;9;1952;846;1080;301;1513;645;599
261;10;1952;902;983;345;2991;1246;1117
262;11;1952;1336;1527;493;1949;1501;1398
263;12;1952;1327;2275;378;841;914;622
264;1;1953;1270;1747;741;803;1109;1432
265;2;1953;1277;1646;694;923;1131;1303
266;3;1953;1440;3027;451;710;1297;779
267;4;1953;2133;3066;541;677;1456;804
268;5;1953;1094;1802;317;558;1183;727
269;6;1953;903;1269;319;696;1113;826
270;7;1953;778;1035;250;497;851;558
271;8;1953;651;821;243;376;803;462
272;9;1953;657;804;283;1422;984;620
273;10;1953;722;1370;311;2178;1545;970
274;11;1953;1014;1465;330;2659;1725;1053
275;12;1953;1605;2892;474;1118;1205;800
276;1;1954;1533;2017;675;1849;1329;1066
277;2;1954;2679;3480;1011;1069;1506;1436
278;3;1954;1661;1862;831;1154;1249;1504
279;4;1954;1404;1599;441;765;1133;749
280;5;1954;1459;1315;677;3568;1763;3964
281;6;1954;1134;949;550;3348;1909;2675
282;7;1954;811;727;344;1895;1204;1508
283;8;1954;664;573;262;915;941;940
284;9;1954;557;482;213;1551;891;702
285;10;1954;616;450;245;2647;954;945
286;11;1954;736;1214;274;1176;733;694
287;12;1954;1102;2175;315;884;766;532
288;1;1955;2148;2904;792;681;976;727
289;2;1955;1468;2354;386;470;918;505
290;3;1955;1851;1941;573;664;1123;852
291;4;1955;1583;2409;401;1123;1130;841
292;5;1955;928;1246;254;1886;1020;689
293;6;1955;850;974;275;4252;1593;1380
294;7;1955;657;751;260;4143;1250;1801
295;8;1955;570;583;225;1890;992;918
296;9;1955;543;469;306;1590;1084;1076
297;10;1955;614;912;194;627;742;600
298;11;1955;899;1300;382;457;1064;998
299;12;1955;1959;3075;442;509;934;679
300;1;1956;2347;3153;555;785;1405;821
301;2;1956;1408;2062;405;1072;1068;722
302;3;1956;2497;3093;593;594;932;607
303;4;1956;1363;1851;367;2055;1852;831
304;5;1956;1366;1845;567;2383;2194;2327
305;6;1956;1386;1900;866;1461;3163;2350
306;7;1956;947;1270;459;1174;2012;1450
307;8;1956;1090;1088;698;1782;2150;2368
308;9;1956;829;871;412;1431;1535;1234
309;10;1956;710;790;379;922;1239;906
310;11;1956;961;1961;332;451;938;697
311;12;1956;2472;4165;318;288;940;566
312;1;1957;3432;5119;997;578;1090;889
313;2;1957;3276;5797;1220;1550;2078;1473
314;3;1957;3612;5718;886;690;2110;825
315;4;1957;3411;4814;877;537;2483;837
316;5;1957;2119;3194;480;560;1347;605
317;6;1957;1551;2404;387;1372;1029;585
318;7;1957;1338;1764;588;4034;1601;2921
319;8;1957;1087;1384;461;6413;1930;2823
320;9;1957;1382;1207;772;6273;2353;4318
321;10;1957;1040;1122;559;2318;1565;2401
322;11;1957;1652;1543;708;1796;1355;2092
323;12;1957;2686;2941;766;1005;1652;1672
324;1;1958;2057;3275;742;641;1907;1082
325;2;1958;3726;3869;1459;417;3518;945
326;3;1958;2978;3312;1386;932;2545;1400
327;4;1958;2233;2603;1007;636;2513;965
328;5;1958;2114;2091;938;324;1746;984
329;6;1958;2197;1537;1140;757;1699;1307
330;7;1958;1540;1372;703;659;1461;818
331;8;1958;1110;1040;499;1214;1253;641
