idSubmercado;AttMatriz;Iteradores;1
3;percentual_variacao_patamar_carga;01/01/2022;1.1148
3;percentual_variacao_patamar_carga;02/01/2022;1.1033
3;percentual_variacao_patamar_carga;03/01/2022;1.0968
3;percentual_variacao_patamar_carga;04/01/2022;1.1012
3;percentual_variacao_patamar_carga;05/01/2022;1.0913
3;percentual_variacao_patamar_carga;06/01/2022;1.0862
3;percentual_variacao_patamar_carga;07/01/2022;1.09
3;percentual_variacao_patamar_carga;08/01/2022;1.0885
3;percentual_variacao_patamar_carga;09/01/2022;1.0988
3;percentual_variacao_patamar_carga;10/01/2022;1.1042
3;percentual_variacao_patamar_carga;11/01/2022;1.1194
3;percentual_variacao_patamar_carga;12/01/2022;1.1001
3;percentual_variacao_patamar_carga;01/01/2023;1.1101
3;percentual_variacao_patamar_carga;02/01/2023;1.1089
3;percentual_variacao_patamar_carga;03/01/2023;1.0914
3;percentual_variacao_patamar_carga;04/01/2023;1.1062
3;percentual_variacao_patamar_carga;05/01/2023;1.091
3;percentual_variacao_patamar_carga;06/01/2023;1.0859
3;percentual_variacao_patamar_carga;07/01/2023;1.0905
3;percentual_variacao_patamar_carga;08/01/2023;1.0881
3;percentual_variacao_patamar_carga;09/01/2023;1.101
3;percentual_variacao_patamar_carga;10/01/2023;1.1021
3;percentual_variacao_patamar_carga;11/01/2023;1.1194
3;percentual_variacao_patamar_carga;12/01/2023;1.108
3;percentual_variacao_patamar_carga;01/01/2024;1.1097
3;percentual_variacao_patamar_carga;02/01/2024;1.1079
3;percentual_variacao_patamar_carga;03/01/2024;1.1038
3;percentual_variacao_patamar_carga;04/01/2024;1.09
3;percentual_variacao_patamar_carga;05/01/2024;1.0958
3;percentual_variacao_patamar_carga;06/01/2024;1.0909
3;percentual_variacao_patamar_carga;07/01/2024;1.0846
3;percentual_variacao_patamar_carga;08/01/2024;1.0898
3;percentual_variacao_patamar_carga;09/01/2024;1.1021
3;percentual_variacao_patamar_carga;10/01/2024;1.0958
3;percentual_variacao_patamar_carga;11/01/2024;1.1194
3;percentual_variacao_patamar_carga;12/01/2024;1.1077
4;percentual_variacao_patamar_carga;01/01/2020;1.0469
4;percentual_variacao_patamar_carga;02/01/2020;1.0513
4;percentual_variacao_patamar_carga;03/01/2020;1.0518
4;percentual_variacao_patamar_carga;04/01/2020;1.0604
4;percentual_variacao_patamar_carga;05/01/2020;1.0649
4;percentual_variacao_patamar_carga;06/01/2020;1.0609
4;percentual_variacao_patamar_carga;07/01/2020;1.0449
4;percentual_variacao_patamar_carga;08/01/2020;1.0598
4;percentual_variacao_patamar_carga;09/01/2020;1.0556
4;percentual_variacao_patamar_carga;10/01/2020;1.0503
4;percentual_variacao_patamar_carga;11/01/2020;1.0521
4;percentual_variacao_patamar_carga;12/01/2020;1.0394
4;percentual_variacao_patamar_carga;01/01/2021;1.0514
4;percentual_variacao_patamar_carga;02/01/2021;1.0506
4;percentual_variacao_patamar_carga;03/01/2021;1.0483
4;percentual_variacao_patamar_carga;04/01/2021;1.0598
4;percentual_variacao_patamar_carga;05/01/2021;1.0637
4;percentual_variacao_patamar_carga;06/01/2021;1.0606
4;percentual_variacao_patamar_carga;07/01/2021;1.0465
4;percentual_variacao_patamar_carga;08/01/2021;1.058
4;percentual_variacao_patamar_carga;09/01/2021;1.056
4;percentual_variacao_patamar_carga;10/01/2021;1.0534
4;percentual_variacao_patamar_carga;11/01/2021;1.0521
4;percentual_variacao_patamar_carga;12/01/2021;1.0381
4;percentual_variacao_patamar_carga;01/01/2022;1.0505
4;percentual_variacao_patamar_carga;02/01/2022;1.0471
4;percentual_variacao_patamar_carga;03/01/2022;1.0511
4;percentual_variacao_patamar_carga;04/01/2022;1.0617
4;percentual_variacao_patamar_carga;05/01/2022;1.0601
4;percentual_variacao_patamar_carga;06/01/2022;1.0606
4;percentual_variacao_patamar_carga;07/01/2022;1.0495
4;percentual_variacao_patamar_carga;08/01/2022;1.0546
4;percentual_variacao_patamar_carga;09/01/2022;1.0556
4;percentual_variacao_patamar_carga;10/01/2022;1.0533
4;percentual_variacao_patamar_carga;11/01/2022;1.0521
4;percentual_variacao_patamar_carga;12/01/2022;1.0381
4;percentual_variacao_patamar_carga;01/01/2023;1.0473
4;percentual_variacao_patamar_carga;02/01/2023;1.0506
4;percentual_variacao_patamar_carga;03/01/2023;1.0477
4;percentual_variacao_patamar_carga;04/01/2023;1.066
4;percentual_variacao_patamar_carga;05/01/2023;1.0597
4;percentual_variacao_patamar_carga;06/01/2023;1.0606
4;percentual_variacao_patamar_carga;07/01/2023;1.0499
4;percentual_variacao_patamar_carga;08/01/2023;1.0544
4;percentual_variacao_patamar_carga;09/01/2023;1.0577
4;percentual_variacao_patamar_carga;10/01/2023;1.0519
4;percentual_variacao_patamar_carga;11/01/2023;1.0521
4;percentual_variacao_patamar_carga;12/01/2023;1.0431
4;percentual_variacao_patamar_carga;01/01/2024;1.0469
4;percentual_variacao_patamar_carga;02/01/2024;1.0497
4;percentual_variacao_patamar_carga;03/01/2024;1.0562
4;percentual_variacao_patamar_carga;04/01/2024;1.0535
4;percentual_variacao_patamar_carga;05/01/2024;1.0635
4;percentual_variacao_patamar_carga;06/01/2024;1.063
4;percentual_variacao_patamar_carga;07/01/2024;1.0453
4;percentual_variacao_patamar_carga;08/01/2024;1.0561
